Collected,Name,Type,Slot,Size,Mass,Rating,Category,Integrity,No Repairs,Coverage,Special Trait,Life,Energy Upkeep,Matter Upkeep,Heat Generation,Energy Generation,Energy Storage,Power Stability,Time/Move,Mod/Extra,Drag,Energy/Move,Heat/Move,Support,Penalty,Burnout,Siege,Range,Shot Energy,Shot Matter,Shot Heat,Recoil,Targeting,Delay,Overload Stability,Waypoints,Arc,Wide,Projectile Count,Damage Min,Damage Max,Damage Type,Critical,Penetration,Heat Transfer,Spectrum,Disruption,Salvage,Explosion Radius,Explosion Arc,Explosion Damage Min,Explosion Damage Max,Falloff,Chunks,Explosion Type,Explosion Heat Transfer,Explosion Spectrum,Explosion Disruption,Explosion Salvage,Effect,Description,Hackable Schematic,Fabrication Number,Fabrication Time,Fabrication Components,Supporter Attribution
"2354230","Matter","Matter","N/A","1","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Used to fuse components, and is consumed by ballistic weapons, which convert it to the appropriate type of ammunition.","","","","","tcsgamer",
"410","Data Core","Data Core","N/A","1","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Contains a unique dynamic key that can be used to improve the chances of hacking its associated terminal, if used before its renewal time expires (40 turns).","","","","","syf",
"2254","Derelict Log","Data Core","N/A","1","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Contains intel data collected by derelicts.","","","","","",
"1107","Schematic Archive","Data Core","N/A","1","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Contains a part or robot schematic.","","","","","",
"9","Imprinter Data Core","Data Core","N/A","1","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Contents unknown.","","","","","",
"29","A2 Data Core","Data Core","N/A","1","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Contents unknown.","","","","","",
"34","A7 Data Core","Data Core","N/A","1","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Contents unknown.","","","","","",
"62","MAIN.C Data Core","Data Core","N/A","1","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Contents unknown.","","","","","",
"56","Architect Data Core","Data Core","N/A","1","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Contents unknown.","","","","","","",
"4379","Scrap","Scrap","N/A","1","","1","","50","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A collection of debris and components that may or may not contain something useful.","","","","","",
"53","Protomatter","Protomatter","N/A","1","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Used to restore integrity of core then attached parts at a rate of 1 protomatter per 3 integrity. Wait while standing on protomatter to automatically apply up to 8 of it per turn.","","","","","",
"534","Ion Engine","Engine","Power","1","5","1","","60","","60","","","","","5","5","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","20","48","8","1-2","Thermal","High (50)","","","-4","","If triggered by chain reaction or rigged proximity response, explodes for 20-48 thermal damage with a radius of 2 (falloff: 8; chunks: 1-2; salvage: -4). High heat transfer.","1","2","51/25/17","","Warmist",
"352","Lgt. Ion Engine","Engine","Power","1","3","1","","40","","60","","","","","5","5","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","20","48","8","1-2","Thermal","High (50)","","","-4","","If triggered by chain reaction or rigged proximity response, explodes for 20-48 thermal damage with a radius of 2 (falloff: 8; chunks: 1-2; salvage: -4). High heat transfer.","1","2","51/25/17","","",
"10","Backup Power I","Engine","Power","1","1","1","","25","1","40","","","","","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","20","48","8","1-2","Thermal","High (50)","","","-4","","If triggered by chain reaction or rigged proximity response, explodes for 20-48 thermal damage with a radius of 2 (falloff: 8; chunks: 1-2; salvage: -4). High heat transfer.","","","","","Luke Miller",
"307","Imp. Ion Engine","Engine","Power","1","7","2","","70","","60","","","","","6","7","165","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","25","57","8","1-2","Thermal","High (50)","","","-5","","If triggered by chain reaction or rigged proximity response, explodes for 25-57 thermal damage with a radius of 2 (falloff: 8; chunks: 1-2; salvage: -5). High heat transfer.","1","2","62/31/20","","Julius Love",
"23","Rnf. Ion Engine","Engine","Power","1","10","2","","140","","60","","","","","9","7","165","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","25","57","8","1-2","Thermal","High (50)","","","-5","","If triggered by chain reaction or rigged proximity response, explodes for 25-57 thermal damage with a radius of 2 (falloff: 8; chunks: 1-2; salvage: -5). High heat transfer.","1","2","62/31/20","","",
"149","Hvy. Ion Engine","Engine","Power","1","8","2","Prototype","110","","60","","","","","6","9","180","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","25","57","8","1-2","Thermal","High (50)","","","-5","","If triggered by chain reaction or rigged proximity response, explodes for 25-57 thermal damage with a radius of 2 (falloff: 8; chunks: 1-2; salvage: -5). High heat transfer.","1","1","99/49/33","","BLANK",
"103","Cld. Ion Engine","Engine","Power","1","8","2","Prototype","110","","60","","","","","3","9","180","99%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","25","57","8","1-2","Thermal","High (50)","","","-5","","If triggered by chain reaction or rigged proximity response, explodes for 25-57 thermal damage with a radius of 2 (falloff: 8; chunks: 1-2; salvage: -5). High heat transfer.","1","1","99/49/33","","",
"24","Sub. Power Source","Engine","Power","1","5","2","","50","","30","","","","","5","10","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","36","74","11","1-2","Thermal","High (50)","","","-6","","If triggered by chain reaction or rigged proximity response, explodes for 36-74 thermal damage with a radius of 2 (falloff: 11; chunks: 1-2; salvage: -6). High heat transfer.","","2","62/31/20","","",
"73","Deuterium Engine","Engine","Power","1","9","3","","75","","60","","","","","6","9","175","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","30","66","10","1-2","Thermal","High (50)","","","-5","","If triggered by chain reaction or rigged proximity response, explodes for 30-66 thermal damage with a radius of 2 (falloff: 10; chunks: 1-2; salvage: -5). High heat transfer.","1","2","73/36/24","","SummitSummit",
"88","Lgt. Deuterium Engine","Engine","Power","1","5","3","","50","","60","","","","","6","9","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","30","66","10","1-2","Thermal","High (50)","","","-5","","If triggered by chain reaction or rigged proximity response, explodes for 30-66 thermal damage with a radius of 2 (falloff: 10; chunks: 1-2; salvage: -5). High heat transfer.","1","2","73/36/24","","Gaspard",
